,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,alpha,decay,eta,gamma_threshold,minimum_probability,num_topics,offset,loss,status
20,2,20,,"{'loss': 7.751634868955855, 'status': 'ok'}","{'tid': 20, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [20], 'decay': [20], 'eta': [20], 'gamma_threshold': [20], 'minimum_probability': [20], 'num_topics': [20], 'offset': [20]}, 'vals': {'alpha': [10], 'decay': [6], 'eta': [0], 'gamma_threshold': [0], 'minimum_probability': [3], 'num_topics': [11.0], 'offset': [1]}}",,,0,2021-05-03 21:29:10.186,2021-05-03 21:29:45.256,0.005,0.55,,0.02,0.01,11.0,4,7.751634868955855,ok
21,2,21,,"{'loss': 7.7654866834653635, 'status': 'ok'}","{'tid': 21, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [21], 'decay': [21], 'eta': [21], 'gamma_threshold': [21], 'minimum_probability': [21], 'num_topics': [21], 'offset': [21]}, 'vals': {'alpha': [10], 'decay': [6], 'eta': [1], 'gamma_threshold': [0], 'minimum_probability': [4], 'num_topics': [12.0], 'offset': [0]}}",,,0,2021-05-03 21:29:45.265,2021-05-03 21:30:17.377,0.005,0.55,auto,0.02,0.005,12.0,1,7.7654866834653635,ok
22,2,22,,"{'loss': 7.7098147241811406, 'status': 'ok'}","{'tid': 22, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [22], 'decay': [22], 'eta': [22], 'gamma_threshold': [22], 'minimum_probability': [22], 'num_topics': [22], 'offset': [22]}, 'vals': {'alpha': [6], 'decay': [7], 'eta': [1], 'gamma_threshold': [2], 'minimum_probability': [3], 'num_topics': [11.0], 'offset': [1]}}",,,0,2021-05-03 21:30:17.386,2021-05-03 21:30:55.024,0.06,0.51,auto,0.005,0.01,11.0,4,7.7098147241811406,ok
23,2,23,,"{'loss': 7.71967980439524, 'status': 'ok'}","{'tid': 23, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [23], 'decay': [23], 'eta': [23], 'gamma_threshold': [23], 'minimum_probability': [23], 'num_topics': [23], 'offset': [23]}, 'vals': {'alpha': [6], 'decay': [6], 'eta': [0], 'gamma_threshold': [2], 'minimum_probability': [3], 'num_topics': [11.0], 'offset': [1]}}",,,0,2021-05-03 21:30:55.033,2021-05-03 21:31:33.068,0.06,0.55,,0.005,0.01,11.0,4,7.71967980439524,ok
24,2,24,,"{'loss': 7.697164046685489, 'status': 'ok'}","{'tid': 24, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [24], 'decay': [24], 'eta': [24], 'gamma_threshold': [24], 'minimum_probability': [24], 'num_topics': [24], 'offset': [24]}, 'vals': {'alpha': [6], 'decay': [7], 'eta': [0], 'gamma_threshold': [2], 'minimum_probability': [3], 'num_topics': [12.0], 'offset': [1]}}",,,0,2021-05-03 21:31:33.077,2021-05-03 21:32:10.436,0.06,0.51,,0.005,0.01,12.0,4,7.697164046685489,ok
25,2,25,,"{'loss': 7.703287780148283, 'status': 'ok'}","{'tid': 25, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [25], 'decay': [25], 'eta': [25], 'gamma_threshold': [25], 'minimum_probability': [25], 'num_topics': [25], 'offset': [25]}, 'vals': {'alpha': [4], 'decay': [6], 'eta': [0], 'gamma_threshold': [1], 'minimum_probability': [3], 'num_topics': [14.0], 'offset': [1]}}",,,0,2021-05-03 21:32:10.445,2021-05-03 21:32:46.553,0.1,0.55,,0.01,0.01,14.0,4,7.703287780148283,ok
26,2,26,,"{'loss': 7.696170329077756, 'status': 'ok'}","{'tid': 26, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [26], 'decay': [26], 'eta': [26], 'gamma_threshold': [26], 'minimum_probability': [26], 'num_topics': [26], 'offset': [26]}, 'vals': {'alpha': [6], 'decay': [6], 'eta': [0], 'gamma_threshold': [2], 'minimum_probability': [3], 'num_topics': [12.0], 'offset': [1]}}",,,0,2021-05-03 21:32:46.562,2021-05-03 21:33:23.194,0.06,0.55,,0.005,0.01,12.0,4,7.696170329077756,ok
27,2,27,,"{'loss': 7.744643389975353, 'status': 'ok'}","{'tid': 27, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [27], 'decay': [27], 'eta': [27], 'gamma_threshold': [27], 'minimum_probability': [27], 'num_topics': [27], 'offset': [27]}, 'vals': {'alpha': [0], 'decay': [6], 'eta': [0], 'gamma_threshold': [8], 'minimum_probability': [4], 'num_topics': [13.0], 'offset': [1]}}",,,0,2021-05-03 21:33:23.204,2021-05-03 21:34:10.607,0.5,0.55,,0.0004,0.005,13.0,4,7.744643389975353,ok
28,2,28,,"{'loss': 7.722348298619815, 'status': 'ok'}","{'tid': 28, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [28], 'decay': [28], 'eta': [28], 'gamma_threshold': [28], 'minimum_probability': [28], 'num_topics': [28], 'offset': [28]}, 'vals': {'alpha': [9], 'decay': [6], 'eta': [0], 'gamma_threshold': [0], 'minimum_probability': [3], 'num_topics': [14.0], 'offset': [1]}}",,,0,2021-05-03 21:34:10.617,2021-05-03 21:34:44.655,0.01,0.55,,0.02,0.01,14.0,4,7.722348298619815,ok
29,2,29,,"{'loss': 7.86609945364645, 'status': 'ok'}","{'tid': 29, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [29], 'decay': [29], 'eta': [29], 'gamma_threshold': [29], 'minimum_probability': [29], 'num_topics': [29], 'offset': [29]}, 'vals': {'alpha': [6], 'decay': [3], 'eta': [0], 'gamma_threshold': [2], 'minimum_probability': [3], 'num_topics': [15.0], 'offset': [0]}}",,,0,2021-05-03 21:34:44.664,2021-05-03 21:35:23.622,0.06,0.8,,0.005,0.01,15.0,1,7.86609945364645,ok
