,state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,alpha,decay,eta,gamma_threshold,minimum_probability,num_topics,offset,loss,status
20,2,20,,"{'loss': 1.7000017575119897, 'status': 'ok'}","{'tid': 20, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [20], 'decay': [20], 'eta': [20], 'gamma_threshold': [20], 'minimum_probability': [20], 'num_topics': [20], 'offset': [20]}, 'vals': {'alpha': [5], 'decay': [6], 'eta': [1], 'gamma_threshold': [12], 'minimum_probability': [0], 'num_topics': [9.0], 'offset': [1]}}",,,0,2021-05-03 23:25:35.245,2021-05-03 23:26:13.712,0.08,0.55,auto,1e-05,0.1,9.0,4,1.7000017575119897,ok
21,2,21,,"{'loss': 2.5533320844254868, 'status': 'ok'}","{'tid': 21, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [21], 'decay': [21], 'eta': [21], 'gamma_threshold': [21], 'minimum_probability': [21], 'num_topics': [21], 'offset': [21]}, 'vals': {'alpha': [5], 'decay': [6], 'eta': [1], 'gamma_threshold': [12], 'minimum_probability': [0], 'num_topics': [9.0], 'offset': [5]}}",,,0,2021-05-03 23:26:13.722,2021-05-03 23:26:48.247,0.08,0.55,auto,1e-05,0.1,9.0,1024,2.5533320844254868,ok
22,2,22,,"{'loss': 1.706971202065061, 'status': 'ok'}","{'tid': 22, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [22], 'decay': [22], 'eta': [22], 'gamma_threshold': [22], 'minimum_probability': [22], 'num_topics': [22], 'offset': [22]}, 'vals': {'alpha': [10], 'decay': [6], 'eta': [0], 'gamma_threshold': [1], 'minimum_probability': [0], 'num_topics': [9.0], 'offset': [1]}}",,,0,2021-05-03 23:26:48.257,2021-05-03 23:27:18.917,0.005,0.55,,0.01,0.1,9.0,4,1.706971202065061,ok
23,2,23,,"{'loss': 1.7136630893672222, 'status': 'ok'}","{'tid': 23, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [23], 'decay': [23], 'eta': [23], 'gamma_threshold': [23], 'minimum_probability': [23], 'num_topics': [23], 'offset': [23]}, 'vals': {'alpha': [5], 'decay': [6], 'eta': [1], 'gamma_threshold': [11], 'minimum_probability': [6], 'num_topics': [10.0], 'offset': [1]}}",,,0,2021-05-03 23:27:18.926,2021-05-03 23:27:58.587,0.08,0.55,auto,5e-05,0.0005,10.0,4,1.7136630893672222,ok
24,2,24,,"{'loss': 1.715167414152638, 'status': 'ok'}","{'tid': 24, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [24], 'decay': [24], 'eta': [24], 'gamma_threshold': [24], 'minimum_probability': [24], 'num_topics': [24], 'offset': [24]}, 'vals': {'alpha': [2], 'decay': [6], 'eta': [1], 'gamma_threshold': [12], 'minimum_probability': [0], 'num_topics': [10.0], 'offset': [3]}}",,,0,2021-05-03 23:27:58.596,2021-05-03 23:28:40.233,0.3,0.55,auto,1e-05,0.1,10.0,64,1.715167414152638,ok
25,2,25,,"{'loss': 1.5944349864023908, 'status': 'ok'}","{'tid': 25, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [25], 'decay': [25], 'eta': [25], 'gamma_threshold': [25], 'minimum_probability': [25], 'num_topics': [25], 'offset': [25]}, 'vals': {'alpha': [13], 'decay': [6], 'eta': [0], 'gamma_threshold': [6], 'minimum_probability': [1], 'num_topics': [8.0], 'offset': [3]}}",,,0,2021-05-03 23:28:40.242,2021-05-03 23:29:15.502,0.0001,0.55,,0.0008,0.05,8.0,64,1.5944349864023908,ok
26,2,26,,"{'loss': 1.5944349864023908, 'status': 'ok'}","{'tid': 26, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [26], 'decay': [26], 'eta': [26], 'gamma_threshold': [26], 'minimum_probability': [26], 'num_topics': [26], 'offset': [26]}, 'vals': {'alpha': [13], 'decay': [6], 'eta': [0], 'gamma_threshold': [6], 'minimum_probability': [1], 'num_topics': [8.0], 'offset': [3]}}",,,0,2021-05-03 23:29:15.512,2021-05-03 23:29:51.573,0.0001,0.55,,0.0008,0.05,8.0,64,1.5944349864023908,ok
27,2,27,,"{'loss': 1.5938251531742114, 'status': 'ok'}","{'tid': 27, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [27], 'decay': [27], 'eta': [27], 'gamma_threshold': [27], 'minimum_probability': [27], 'num_topics': [27], 'offset': [27]}, 'vals': {'alpha': [13], 'decay': [5], 'eta': [0], 'gamma_threshold': [6], 'minimum_probability': [1], 'num_topics': [8.0], 'offset': [3]}}",,,0,2021-05-03 23:29:51.582,2021-05-03 23:30:26.934,0.0001,0.6,,0.0008,0.05,8.0,64,1.5938251531742114,ok
28,2,28,,"{'loss': 1.5938251531742114, 'status': 'ok'}","{'tid': 28, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [28], 'decay': [28], 'eta': [28], 'gamma_threshold': [28], 'minimum_probability': [28], 'num_topics': [28], 'offset': [28]}, 'vals': {'alpha': [13], 'decay': [5], 'eta': [0], 'gamma_threshold': [6], 'minimum_probability': [1], 'num_topics': [8.0], 'offset': [3]}}",,,0,2021-05-03 23:30:26.944,2021-05-03 23:31:01.863,0.0001,0.6,,0.0008,0.05,8.0,64,1.5938251531742114,ok
29,2,29,,"{'loss': 1.852790210245757, 'status': 'ok'}","{'tid': 29, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'alpha': [29], 'decay': [29], 'eta': [29], 'gamma_threshold': [29], 'minimum_probability': [29], 'num_topics': [29], 'offset': [29]}, 'vals': {'alpha': [12], 'decay': [5], 'eta': [0], 'gamma_threshold': [6], 'minimum_probability': [1], 'num_topics': [10.0], 'offset': [3]}}",,,0,2021-05-03 23:31:01.874,2021-05-03 23:31:38.318,0.0005,0.6,,0.0008,0.05,10.0,64,1.852790210245757,ok
